LAT;;;;;45.1667;45.1667;45.1667;45.1667;45.1667;45.1667;45.1667;45.1667;45.1667;45.1667;45.1667;45.1667
LON;;;;;5.71667;5.71667;5.71667;5.71667;5.71667;5.71667;5.71667;5.71667;5.71667;5.71667;5.71667;5.71667
ASL;;;;;218.000;218.000;218.000;218.000;218.000;218.000;218.000;218.000;218.000;218.000;218.000;218.000
CITY;;;;;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble;Grenoble
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS12;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;sfc;high cld lay;mid cld lay;low cld lay;sfc;10 m above gnd;10 m above gnd;sfc
NAME;;;;;Temperature;Relative humidity;Mean Sea Level Pressure;Total Precipitation;Total cloud cover;High cloud cover;Medium cloud cover;Low cloud cover;Shortwave Radiation - backwards;Wind speed;Wind direction;Wind Gust
UNIT;;;;;°C;%;hPa;mm;%;%;%;%;W/m2;m/s;°;m/s
AGGREGATION;;;;;;;;;;;;;;;;
UTC_OFFSET;;;;;0;0;0;0;0;0;0;0;0;0;0;0

Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative humidity  [2 m above gnd];Mean Sea Level Pressure  [MSL];Total Precipitation  [sfc];Total cloud cover  [sfc];High cloud cover  [high cld lay];Medium cloud cover  [mid cld lay];Low cloud cover  [low cld lay];Shortwave Radiation - backwards  [sfc];Wind speed  [10 m above gnd];Wind direction  [10 m above gnd];Wind Gust  [sfc]
2017;07;13;19;00;21.31;72.00;1015.80;0.00;0.00;0.00;0.00;0.00;103.24;1.80;356.82;4.50
2017;07;13;20;00;18.83;80.00;1017.10;0.00;10.00;0.00;0.00;10.00;4.45;2.11;354.56;5.00
2017;07;13;21;00;18.23;81.00;1017.00;0.00;10.00;0.00;0.00;10.00;0.00;2.28;336.80;5.30
2017;07;13;22;00;17.40;84.00;1017.50;0.00;9.00;30.00;0.00;0.00;0.00;2.42;330.26;4.80
2017;07;13;23;00;16.87;85.00;1017.90;0.00;7.80;26.00;0.00;0.00;0.00;2.28;322.13;4.60
2017;07;14;00;00;16.54;86.00;1018.70;0.00;8.70;29.00;0.00;0.00;0.00;2.20;320.53;4.30
2017;07;14;01;00;16.37;86.00;1018.30;0.00;10.00;0.00;0.00;10.00;0.00;2.19;316.85;4.70
2017;07;14;02;00;17.72;79.00;1017.60;0.00;100.00;0.00;0.00;100.00;0.00;2.41;311.63;4.70
2017;07;14;03;00;17.52;79.00;1018.10;0.00;100.00;0.00;0.00;100.00;0.00;2.62;319.64;4.80
2017;07;14;04;00;15.67;87.00;1018.70;0.10;100.00;0.00;0.00;100.00;0.00;2.02;327.09;4.10
2017;07;14;05;00;17.57;79.00;1018.80;0.10;0.00;0.00;0.00;0.00;43.61;1.79;333.43;4.00
2017;07;14;06;00;19.52;74.00;1017.80;0.10;0.00;0.00;0.00;0.00;192.24;1.70;360.00;3.90
2017;07;14;07;00;21.15;68.00;1017.60;0.00;0.00;0.00;0.00;0.00;356.89;2.50;16.26;4.20
2017;07;14;08;00;22.45;63.00;1018.20;0.00;10.00;0.00;0.00;10.00;491.28;2.79;14.53;5.10
2017;07;14;09;00;23.76;57.00;1018.00;0.00;10.00;0.00;0.00;10.00;618.55;3.28;12.34;5.60
2017;07;14;10;00;24.61;53.00;1017.10;0.00;10.00;0.00;0.00;10.00;723.57;3.59;12.87;5.60
2017;07;14;11;00;25.28;51.00;1017.00;0.00;10.00;0.00;0.00;10.00;796.55;3.91;13.32;5.80
2017;07;14;12;00;25.25;54.00;1018.20;0.00;10.00;0.00;0.00;10.00;825.03;3.01;356.19;5.70
2017;07;14;13;00;25.90;51.00;1017.90;0.00;10.00;0.00;0.00;10.00;814.35;3.20;360.00;6.20
2017;07;14;14;00;26.04;50.00;1017.50;0.00;10.00;0.00;0.00;10.00;760.95;3.31;3.47;5.70
2017;07;14;15;00;26.12;48.00;1016.70;0.00;10.00;0.00;0.00;10.00;671.06;3.67;17.45;5.80
2017;07;14;16;00;25.96;47.00;1016.90;0.00;10.00;0.00;0.00;10.00;553.58;4.27;20.56;6.20
2017;07;14;17;00;25.33;50.00;1016.90;0.00;0.00;0.00;0.00;0.00;408.51;3.85;27.90;5.90
2017;07;14;18;00;24.14;53.00;1016.60;0.00;0.00;0.00;0.00;0.00;267.00;3.31;28.89;5.10
2017;07;14;19;00;20.86;64.00;1016.80;0.00;0.00;0.00;0.00;0.00;106.80;2.66;19.80;5.60
2017;07;14;20;00;19.41;64.00;1018.10;0.00;0.00;0.00;0.00;0.00;4.45;2.73;8.43;5.90
2017;07;14;21;00;18.49;66.00;1018.80;0.00;0.00;0.00;0.00;0.00;0.00;2.72;6.34;5.50
2017;07;14;22;00;17.83;68.00;1019.20;0.00;0.00;0.00;0.00;0.00;0.00;2.62;6.58;4.90
2017;07;14;23;00;16.98;69.00;1019.10;0.00;0.00;0.00;0.00;0.00;0.00;2.50;360.00;4.60
2017;07;15;00;00;16.95;67.00;1019.90;0.00;0.00;0.00;0.00;0.00;0.00;2.01;354.29;3.70
2017;07;15;01;00;16.68;66.00;1020.10;0.00;0.00;0.00;0.00;0.00;0.00;1.82;350.54;3.20
2017;07;15;02;00;16.29;67.00;1019.50;0.00;7.80;26.00;0.00;0.00;0.00;1.84;347.47;2.80
2017;07;15;03;00;15.98;67.00;1019.50;0.00;30.00;100.00;0.00;0.00;0.00;1.93;338.75;3.40
2017;07;15;04;00;15.54;69.00;1019.70;0.00;53.00;100.00;53.00;0.00;0.00;1.93;338.75;3.80
2017;07;15;05;00;16.13;72.00;1020.40;0.00;0.00;0.00;0.00;0.00;45.39;1.90;341.57;3.90
2017;07;15;06;00;18.55;66.00;1019.90;0.00;0.00;0.00;0.00;0.00;193.13;1.55;345.07;3.80
2017;07;15;07;00;20.63;58.00;1019.90;0.00;13.80;46.00;0.00;0.00;364.01;2.24;10.30;4.30
2017;07;15;08;00;21.94;55.00;1019.80;0.00;4.20;14.00;0.00;0.00;519.76;2.92;5.91;5.80
2017;07;15;09;00;23.13;53.00;1019.60;0.00;10.00;0.00;0.00;10.00;653.26;3.01;3.81;5.30
2017;07;15;10;00;24.08;51.00;1019.60;0.00;0.00;0.00;0.00;0.00;748.49;3.37;11.98;6.10
2017;07;15;11;00;24.81;49.00;1018.80;0.00;10.00;0.00;0.00;10.00;805.45;4.77;9.66;7.70
2017;07;15;12;00;25.50;50.00;1019.00;0.00;10.00;5.00;0.00;10.00;814.35;5.22;5.49;7.20
2017;07;15;13;00;25.27;49.00;1018.90;0.00;10.00;6.00;0.00;10.00;715.56;4.53;6.34;7.50
2017;07;15;14;00;26.54;46.00;1018.70;0.00;13.00;0.00;0.00;13.00;756.50;4.34;7.94;7.60
2017;07;15;15;00;25.98;47.00;1018.00;0.00;10.00;1.00;0.00;10.00;477.04;4.41;13.09;7.40
2017;07;15;16;00;25.89;46.00;1018.30;0.00;10.00;13.00;0.00;10.00;335.53;4.68;16.11;7.80
2017;07;15;17;00;25.61;49.00;1018.20;0.00;10.00;19.00;0.00;10.00;339.98;4.37;20.10;6.20
2017;07;15;18;00;24.39;54.00;1018.10;0.00;8.10;27.00;0.00;0.00;267.00;3.96;20.73;5.80
